學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期內新辦理休學人數小計,因病學期內新辦理休學人數,因經濟困難學期內新辦理休學人數,因學業成績學期內新辦理休學人數,因志趣不合學期內新辦理休學人數,因工作需求學期內新辦理休學人數,因懷孕學期內新辦理休學人數,因育嬰學期內新辦理休學人數,因兵役學期內新辦理休學人數,因出國學期內新辦理休學人數,因論文學期內新辦理休學人數,因適應不良學期內新辦理休學人數,因家人傷病學期內新辦理休學人數,因考試訓練學期內新辦理休學人數,其他學期內新辦理休學人數,至學期底總休學人數小計,因病至學期底總休學人數,因經濟困難至學期底總休學人數,因學業成績至學期底總休學人數,因志趣不合至學期底總休學人數,因工作需求至學期底總休學人數,因懷孕至學期底總休學人數,因育嬰至學期底總休學人數,因兵役至學期底總休學人數,因出國至學期底總休學人數,因論文至學期底總休學人數,因適應不良至學期底總休學人數,因家人傷病至學期底總休學人數,因考試訓練至學期底總休學人數,其他至學期底總休學人數
105,1,公立,一般大學,1,國立政治大學,學士班(日間),男,"3,912",74,3,0,2,32,3,0,0,0,0,0,0,0,0,34,145,5,0,3,49,6,0,1,0,0,0,0,0,0,81
105,1,公立,一般大學,1,國立政治大學,碩士班(日間),男,"1,808",156,6,3,8,28,34,0,3,0,0,0,0,0,0,74,419,11,6,33,60,92,0,11,0,0,0,0,0,0,206
105,1,公立,一般大學,1,國立政治大學,碩士在職專班,男,882,103,2,0,22,5,51,0,4,0,0,0,0,0,0,19,278,9,0,43,11,123,0,27,0,0,0,0,0,0,65
105,1,公立,一般大學,1,國立政治大學,博士班,男,605,72,0,1,6,19,23,0,2,0,0,0,0,0,0,21,197,3,3,22,29,45,0,34,0,0,0,0,0,0,61
105,1,公立,一般大學,1,國立政治大學,學士班(日間),女,"5,799",103,9,0,3,45,6,0,0,0,0,0,0,0,0,40,165,16,0,3,57,7,0,2,0,0,0,0,0,0,80
105,1,公立,一般大學,1,國立政治大學,碩士班(日間),女,"2,154",180,5,4,14,43,72,1,3,0,0,0,0,0,0,38,470,14,7,36,100,150,6,38,0,0,0,0,0,0,119
105,1,公立,一般大學,1,國立政治大學,碩士在職專班,女,836,103,4,1,26,5,36,5,3,0,0,0,0,0,0,23,278,13,1,52,12,86,8,56,0,0,0,0,0,0,50
105,1,公立,一般大學,1,國立政治大學,博士班,女,376,52,4,2,5,7,13,2,5,0,0,0,0,0,0,14,145,9,2,21,13,33,4,32,0,0,0,0,0,0,31
105,1,公立,一般大學,2,國立清華大學,學士班(日間),男,"4,843",133,5,4,29,78,3,0,0,0,0,0,0,0,0,14,181,7,8,34,102,3,0,0,0,0,0,0,0,0,27
105,1,公立,一般大學,2,國立清華大學,碩士班(日間),男,"3,001",116,5,6,13,33,16,0,1,0,0,0,0,0,0,42,210,11,17,16,50,40,0,1,0,0,0,0,0,0,75
105,1,公立,一般大學,2,國立清華大學,碩士在職專班,男,357,25,1,3,1,1,14,0,1,0,0,0,0,0,0,4,48,3,5,1,1,29,0,1,0,0,0,0,0,0,8
105,1,公立,一般大學,2,國立清華大學,博士班,男,"1,306",132,4,11,32,33,30,0,14,0,0,0,0,0,0,8,257,13,24,37,59,64,0,33,0,0,0,0,0,0,27
105,1,公立,一般大學,2,國立清華大學,學士班(日間),女,"4,163",71,4,3,6,38,5,0,0,0,0,0,0,0,0,15,98,5,4,7,47,11,0,2,0,0,0,0,0,0,22
105,1,公立,一般大學,2,國立清華大學,碩士班(日間),女,"1,815",129,6,8,28,17,44,2,2,0,0,0,0,0,0,22,258,17,18,18,30,73,7,27,0,0,0,0,0,0,68
105,1,公立,一般大學,2,國立清華大學,碩士在職專班,女,632,48,2,3,0,1,16,0,12,0,0,0,0,0,0,14,79,5,4,0,2,25,3,18,0,0,0,0,0,0,22
105,1,公立,一般大學,2,國立清華大學,博士班,女,430,53,4,2,14,10,7,4,10,0,0,0,0,0,0,2,91,5,5,15,14,18,8,22,0,0,0,0,0,0,4
105,1,公立,一般大學,3,國立臺灣大學,學士班(日間),男,"9,403",390,20,5,0,112,10,0,0,0,0,0,0,0,0,243,433,20,5,129,0,13,0,0,0,0,0,0,0,0,266
105,1,公立,一般大學,3,國立臺灣大學,碩士班(日間),男,"6,160",519,16,21,0,17,102,0,7,0,0,0,0,0,0,356,742,25,30,0,22,144,0,15,0,0,0,0,0,0,506
105,1,公立,一般大學,3,國立臺灣大學,碩士在職專班,男,842,148,4,0,0,0,75,0,3,0,0,0,0,0,0,66,188,5,1,0,0,96,0,7,0,0,0,0,0,0,79
105,1,公立,一般大學,3,國立臺灣大學,博士班,男,"2,679",455,18,19,0,2,87,0,25,0,0,0,0,0,0,304,752,36,29,0,2,131,0,78,0,0,0,0,0,0,476
105,1,公立,一般大學,3,國立臺灣大學,學士班(日間),女,"7,096",247,21,3,0,70,4,0,0,0,0,0,0,0,0,149,277,27,3,80,0,5,1,0,0,0,0,0,0,0,161
105,1,公立,一般大學,3,國立臺灣大學,碩士班(日間),女,"3,994",359,22,10,0,7,97,5,9,0,0,0,0,0,0,209,519,32,15,0,13,134,6,30,0,0,0,0,0,0,289
105,1,公立,一般大學,3,國立臺灣大學,碩士在職專班,女,475,92,2,0,0,0,22,6,8,0,0,0,0,0,0,54,116,3,0,0,0,28,6,14,0,0,0,0,0,0,65
105,1,公立,一般大學,3,國立臺灣大學,博士班,女,"1,134",202,10,2,0,0,40,6,19,0,0,0,0,0,0,125,332,14,3,0,0,48,11,54,0,0,0,0,0,0,202
105,1,公立,一般大學,4,國立臺灣師範大學,學士班(日間),男,"3,523",91,2,5,4,44,7,0,0,0,0,0,0,0,0,29,159,4,9,9,56,11,0,0,0,0,0,0,0,0,70
105,1,公立,一般大學,4,國立臺灣師範大學,碩士班(日間),男,"1,646",275,2,7,68,16,112,0,2,0,0,0,0,0,0,68,362,6,14,72,18,131,0,6,0,0,0,0,0,0,115
105,1,公立,一般大學,4,國立臺灣師範大學,碩士在職專班,男,574,61,0,0,21,0,28,0,8,0,0,0,0,0,0,4,113,2,1,28,1,51,0,18,0,0,0,0,0,0,12
105,1,公立,一般大學,4,國立臺灣師範大學,博士班,男,701,153,3,6,45,5,48,0,29,0,0,0,0,0,0,17,203,7,10,53,8,55,0,39,0,0,0,0,0,0,31
105,1,公立,一般大學,4,國立臺灣師範大學,學士班(日間),女,"4,505",79,1,2,2,51,3,0,0,0,0,0,0,0,0,20,124,2,5,6,61,4,1,2,0,0,0,0,0,0,43
